1,1,0.0018762,SENGOKU@12,(Offer  bid:Bid[Number of Wind Turbines: larger than 40, less than or equal to 60, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: carbon fiber])
1,2,0.004745033333333333,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@13,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
2,1,0.0064378000000000005,SENGOKU@12,(Offer  bid:Bid[Number of Wind Turbines: larger than 60, less than or equal to 80, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smallest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
2,2,0.0067619,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@13,(Offer  bid:Bid[Number of Wind Turbines: larger than 80, less than or equal to 100, Price Per Wind Turbine: very cheap, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: larger than most of wind turbines around the world, Onshore or Offshore: onshore, Material: carbon fiber])
3,1,0.008834633333333333,SENGOKU@12,(Offer  bid:Bid[Number of Wind Turbines: larger than 140, Price Per Wind Turbine: fair, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: larger than most of wind turbines around the world, Onshore or Offshore: offshore, Material: carbon fiber])
3,2,0.0091957,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@13,(Offer  bid:Bid[Number of Wind Turbines: larger than 60, less than or equal to 80, Price Per Wind Turbine: very cheap, Sound: nearly slient, Spacing: as close as possible, Size Of Wind Turbines: larger than most of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
4,1,0.009525533333333334,SENGOKU@12,(Offer  bid:Bid[Number of Wind Turbines: larger than 20, less than or equal to 40, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smallest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
4,2,0.0097396,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@13,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: as close as possible, Size Of Wind Turbines: largest in the world, Onshore or Offshore: offshore, Material: carbon fiber])
5,1,0.009987000000000001,SENGOKU@12,(Offer  bid:Bid[Number of Wind Turbines: larger than 80, less than or equal to 100, Price Per Wind Turbine: very expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smaller than most of wind turbines around the world, Onshore or Offshore: offshore, Material: carbon fiber])
5,2,0.0101815,boa-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Bidder-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Acceptor-negotiator.boaframework.opponentmodel.AgentLGModel-C..Users.ana.Documents.University.Delft.Year.1.Quarter.1.Artificial.Intelligence.Techniques.Practical.Assignments.A2.babygenius2.Assign2.bin.ai2019.group18.Strategist@13,(Offer  bid:Bid[Number of Wind Turbines: larger than 100, less than or equal to 120, Price Per Wind Turbine: very cheap, Sound: loud and noisy, Spacing: far to each other, Size Of Wind Turbines: larger than most of wind turbines around the world, Onshore or Offshore: offshore, Material: glass fiber])
6,1,0.0104083,SENGOKU@12,(Offer  bid:Bid[Number of Wind Turbines: larger than 120, less than or equal to 140, Price Per Wind Turbine: expensive, Sound: nearly slient, Spacing: fairly close, Size Of Wind Turbines: smallest in the world, Onshore or Offshore: offshore, Material: glass fiber])
