1,1,0.01639344262295082,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
1,2,0.01639344262295082,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 0 kW,, 22-06: 100 kW,])
2,1,0.03278688524590164,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
2,2,0.03278688524590164,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 0 kW,, 22-06: 50 kW,])
3,1,0.04918032786885246,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
3,2,0.04918032786885246,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
4,1,0.06557377049180328,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
4,2,0.06557377049180328,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
5,1,0.08196721311475409,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
5,2,0.08196721311475409,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 25 kW,, 22-06: 100 kW,])
6,1,0.09836065573770492,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
6,2,0.09836065573770492,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 50 kW,, 19-22: 0 kW,, 22-06: 25 kW,])
7,1,0.11475409836065574,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
7,2,0.11475409836065574,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 0 kW,, 22-06: 50 kW,])
8,1,0.13114754098360656,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
8,2,0.13114754098360656,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
9,1,0.14754098360655737,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
9,2,0.14754098360655737,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 50 kW,, 22-06: 75 kW,])
10,1,0.16393442622950818,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
10,2,0.16393442622950818,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 0 kW,, 22-06: 75 kW,])
11,1,0.18032786885245902,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
11,2,0.18032786885245902,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 50 kW,, 22-06: 50 kW,])
12,1,0.19672131147540983,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
12,2,0.19672131147540983,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 75 kW,])
13,1,0.21311475409836064,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
13,2,0.21311475409836064,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 50 kW,])
14,1,0.22950819672131148,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
14,2,0.22950819672131148,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 25 kW,, 22-06: 25 kW,])
15,1,0.2459016393442623,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
15,2,0.2459016393442623,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 0 kW,, 22-06: 50 kW,])
16,1,0.26229508196721313,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
16,2,0.26229508196721313,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 50 kW,, 22-06: 25 kW,])
17,1,0.2786885245901639,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
17,2,0.2786885245901639,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 50 kW,])
18,1,0.29508196721311475,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
18,2,0.29508196721311475,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 50 kW,])
19,1,0.3114754098360656,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
19,2,0.3114754098360656,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 100 kW,])
20,1,0.32786885245901637,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
20,2,0.32786885245901637,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
21,1,0.3442622950819672,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
21,2,0.3442622950819672,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 0 kW,, 22-06: 25 kW,])
22,1,0.36065573770491804,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
22,2,0.36065573770491804,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 25 kW,, 22-06: 0 kW,])
23,1,0.3770491803278688,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
23,2,0.3770491803278688,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 50 kW,, 22-06: 75 kW,])
24,1,0.39344262295081966,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
24,2,0.39344262295081966,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
25,1,0.4098360655737705,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
25,2,0.4098360655737705,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 0 kW,, 22-06: 100 kW,])
26,1,0.4262295081967213,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
26,2,0.4262295081967213,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 50 kW,, 22-06: 50 kW,])
27,1,0.4426229508196721,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
27,2,0.4426229508196721,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 25 kW,, 22-06: 75 kW,])
28,1,0.45901639344262296,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
28,2,0.45901639344262296,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 25 kW,, 22-06: 50 kW,])
29,1,0.47540983606557374,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
29,2,0.47540983606557374,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 50 kW,, 22-06: 0 kW,])
30,1,0.4918032786885246,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
30,2,0.4918032786885246,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 50 kW,, 22-06: 0 kW,])
31,1,0.5081967213114754,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
31,2,0.5081967213114754,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 25 kW,, 19-22: 25 kW,, 22-06: 50 kW,])
32,1,0.5245901639344263,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
32,2,0.5245901639344263,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 50 kW,, 22-06: 25 kW,])
33,1,0.5409836065573771,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
33,2,0.5409836065573771,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 50 kW,, 22-06: 25 kW,])
34,1,0.5573770491803278,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
34,2,0.5573770491803278,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 0 kW,, 19-22: 0 kW,, 22-06: 75 kW,])
35,1,0.5737704918032787,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
35,2,0.5737704918032787,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 100 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
36,1,0.5901639344262295,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
36,2,0.5901639344262295,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 25 kW,, 19-22: 50 kW,, 22-06: 75 kW,])
37,1,0.6065573770491803,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
37,2,0.6065573770491803,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 50 kW,, 19-22: 50 kW,, 22-06: 0 kW,])
38,1,0.6229508196721312,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
38,2,0.6229508196721312,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 25 kW,, 09-19: 75 kW,, 19-22: 0 kW,, 22-06: 0 kW,])
39,1,0.639344262295082,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
39,2,0.639344262295082,boa-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Bidder-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Acceptor-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.OM-.home.none.Desktop.Java.babygenius2.out.production.babygenius2.ai2019.group18.Strategist@3,(Offer  bid:Bid[06-09: 0 kW,, 09-19: 75 kW,, 19-22: 0 kW,, 22-06: 25 kW,])
40,1,0.6557377049180327,ClockworkAgent@2,(Offer  bid:Bid[06-09: 100 kW,, 09-19: 0 kW,, 19-22: 100 kW,, 22-06: 100 kW,])
